init_guess_x,init_guess_y,step_size,epsilon,final_x,final_y,iterations
0.000000,0.000000,1.000000e-03,1.000000e-03,39.953435,39.953435,447
0.000000,0.000000,1.000000e-03,1.000000e-05,39.995389,39.995389,600
0.000000,0.000000,1.000000e-03,1.000000e-08,39.999853,39.999853,828
0.000000,0.000000,1.000000e-03,1.000000e-10,39.999986,39.999986,982
0.000000,0.000000,1.000000e-03,1.000000e-15,39.999989,39.999989,inf
0.000000,0.000000,5.000000e-03,1.000000e-03,39.980771,39.980771,98
0.000000,0.000000,5.000000e-03,1.000000e-05,39.998146,39.998146,128
0.000000,0.000000,5.000000e-03,1.000000e-08,39.999940,39.999940,172
0.000000,0.000000,5.000000e-03,1.000000e-10,39.999994,39.999994,202
0.000000,0.000000,5.000000e-03,1.000000e-15,39.999999,39.999999,221
0.000000,0.000000,1.000000e-02,1.000000e-03,39.988169,39.988169,50
0.000000,0.000000,1.000000e-02,1.000000e-05,39.998784,39.998784,64
0.000000,0.000000,1.000000e-02,1.000000e-08,39.999960,39.999960,85
0.000000,0.000000,1.000000e-02,1.000000e-10,39.999996,39.999996,99
0.000000,0.000000,1.000000e-02,1.000000e-15,39.999999,39.999999,111
0.000000,0.000000,5.000000e-02,1.000000e-03,39.999390,39.999390,8
0.000000,0.000000,5.000000e-02,1.000000e-05,39.999847,39.999847,9
0.000000,0.000000,5.000000e-02,1.000000e-08,39.999998,39.999998,12
0.000000,0.000000,5.000000e-02,1.000000e-10,39.999999,39.999999,13
0.000000,0.000000,5.000000e-02,1.000000e-15,40.000000,40.000000,15
0.000000,0.000000,1.000000e-01,1.000000e-03,39.997559,39.997559,14
0.000000,0.000000,1.000000e-01,1.000000e-05,40.000305,40.000305,17
0.000000,0.000000,1.000000e-01,1.000000e-08,39.999990,39.999990,22
0.000000,0.000000,1.000000e-01,1.000000e-10,40.000001,40.000001,25
0.000000,0.000000,1.000000e-01,1.000000e-15,40.000000,40.000000,28
0.000000,0.000000,1.500000e-01,1.000000e-03,-325141945022288082308159650004715618009072669844263969425618282308297364893183383711718092975374336.000000,-325141945022288082308159650004715618009072669844263969425618282308297364893183383711718092975374336.000000,inf
0.000000,0.000000,1.500000e-01,1.000000e-05,-325141945022288082308159650004715618009072669844263969425618282308297364893183383711718092975374336.000000,-325141945022288082308159650004715618009072669844263969425618282308297364893183383711718092975374336.000000,inf
0.000000,0.000000,1.500000e-01,1.000000e-08,-325141945022288082308159650004715618009072669844263969425618282308297364893183383711718092975374336.000000,-325141945022288082308159650004715618009072669844263969425618282308297364893183383711718092975374336.000000,inf
0.000000,0.000000,1.500000e-01,1.000000e-10,-325141945022288082308159650004715618009072669844263969425618282308297364893183383711718092975374336.000000,-325141945022288082308159650004715618009072669844263969425618282308297364893183383711718092975374336.000000,inf
0.000000,0.000000,1.500000e-01,1.000000e-15,-325141945022288082308159650004715618009072669844263969425618282308297364893183383711718092975374336.000000,-325141945022288082308159650004715618009072669844263969425618282308297364893183383711718092975374336.000000,inf
20.000000,20.000000,1.000000e-03,1.000000e-03,39.954038,39.954038,402
20.000000,20.000000,1.000000e-03,1.000000e-05,39.995379,39.995379,554
20.000000,20.000000,1.000000e-03,1.000000e-08,39.999853,39.999853,782
20.000000,20.000000,1.000000e-03,1.000000e-10,39.999985,39.999985,935
20.000000,20.000000,1.000000e-03,1.000000e-15,39.999995,39.999995,inf
20.000000,20.000000,5.000000e-03,1.000000e-03,39.980607,39.980607,89
20.000000,20.000000,5.000000e-03,1.000000e-05,39.998130,39.998130,119
20.000000,20.000000,5.000000e-03,1.000000e-08,39.999939,39.999939,163
20.000000,20.000000,5.000000e-03,1.000000e-10,39.999994,39.999994,193
20.000000,20.000000,5.000000e-03,1.000000e-15,39.999999,39.999999,218
20.000000,20.000000,1.000000e-02,1.000000e-03,39.988668,39.988668,46
20.000000,20.000000,1.000000e-02,1.000000e-05,39.998835,39.998835,60
20.000000,20.000000,1.000000e-02,1.000000e-08,39.999962,39.999962,81
20.000000,20.000000,1.000000e-02,1.000000e-10,39.999996,39.999996,95
20.000000,20.000000,1.000000e-02,1.000000e-15,39.999999,39.999999,107
20.000000,20.000000,5.000000e-02,1.000000e-03,39.998779,39.998779,7
20.000000,20.000000,5.000000e-02,1.000000e-05,39.999924,39.999924,9
20.000000,20.000000,5.000000e-02,1.000000e-08,39.999995,39.999995,11
20.000000,20.000000,5.000000e-02,1.000000e-10,40.000000,40.000000,13
20.000000,20.000000,5.000000e-02,1.000000e-15,40.000000,40.000000,14
20.000000,20.000000,1.000000e-01,1.000000e-03,40.002441,40.002441,13
20.000000,20.000000,1.000000e-01,1.000000e-05,39.999695,39.999695,16
20.000000,20.000000,1.000000e-01,1.000000e-08,40.000010,40.000010,21
20.000000,20.000000,1.000000e-01,1.000000e-10,39.999999,39.999999,24
20.000000,20.000000,1.000000e-01,1.000000e-15,40.000000,40.000000,27
20.000000,20.000000,1.500000e-01,1.000000e-03,-162570972511144041154079825002357809004536334922131984712809141154148682446591691855859046487687168.000000,-162570972511144041154079825002357809004536334922131984712809141154148682446591691855859046487687168.000000,inf
20.000000,20.000000,1.500000e-01,1.000000e-05,-162570972511144041154079825002357809004536334922131984712809141154148682446591691855859046487687168.000000,-162570972511144041154079825002357809004536334922131984712809141154148682446591691855859046487687168.000000,inf
20.000000,20.000000,1.500000e-01,1.000000e-08,-162570972511144041154079825002357809004536334922131984712809141154148682446591691855859046487687168.000000,-162570972511144041154079825002357809004536334922131984712809141154148682446591691855859046487687168.000000,inf
20.000000,20.000000,1.500000e-01,1.000000e-10,-162570972511144041154079825002357809004536334922131984712809141154148682446591691855859046487687168.000000,-162570972511144041154079825002357809004536334922131984712809141154148682446591691855859046487687168.000000,inf
20.000000,20.000000,1.500000e-01,1.000000e-15,-162570972511144041154079825002357809004536334922131984712809141154148682446591691855859046487687168.000000,-162570972511144041154079825002357809004536334922131984712809141154148682446591691855859046487687168.000000,inf
60.000000,60.000000,1.000000e-03,1.000000e-03,40.045962,40.045962,402
60.000000,60.000000,1.000000e-03,1.000000e-05,40.004621,40.004621,554
60.000000,60.000000,1.000000e-03,1.000000e-08,40.000147,40.000147,782
60.000000,60.000000,1.000000e-03,1.000000e-10,40.000015,40.000015,934
60.000000,60.000000,1.000000e-03,1.000000e-15,40.000005,40.000005,inf
60.000000,60.000000,5.000000e-03,1.000000e-03,40.019393,40.019393,89
60.000000,60.000000,5.000000e-03,1.000000e-05,40.001870,40.001870,119
60.000000,60.000000,5.000000e-03,1.000000e-08,40.000061,40.000061,163
60.000000,60.000000,5.000000e-03,1.000000e-10,40.000006,40.000006,192
60.000000,60.000000,5.000000e-03,1.000000e-15,40.000001,40.000001,212
60.000000,60.000000,1.000000e-02,1.000000e-03,40.011332,40.011332,46
60.000000,60.000000,1.000000e-02,1.000000e-05,40.001165,40.001165,60
60.000000,60.000000,1.000000e-02,1.000000e-08,40.000038,40.000038,81
60.000000,60.000000,1.000000e-02,1.000000e-10,40.000004,40.000004,95
60.000000,60.000000,1.000000e-02,1.000000e-15,40.000001,40.000001,106
60.000000,60.000000,5.000000e-02,1.000000e-03,40.001221,40.001221,7
60.000000,60.000000,5.000000e-02,1.000000e-05,40.000076,40.000076,9
60.000000,60.000000,5.000000e-02,1.000000e-08,40.000005,40.000005,11
60.000000,60.000000,5.000000e-02,1.000000e-10,40.000000,40.000000,13
60.000000,60.000000,5.000000e-02,1.000000e-15,40.000000,40.000000,14
60.000000,60.000000,1.000000e-01,1.000000e-03,39.997559,39.997559,13
60.000000,60.000000,1.000000e-01,1.000000e-05,40.000305,40.000305,16
60.000000,60.000000,1.000000e-01,1.000000e-08,39.999990,39.999990,21
60.000000,60.000000,1.000000e-01,1.000000e-10,40.000001,40.000001,24
60.000000,60.000000,1.000000e-01,1.000000e-15,40.000000,40.000000,27
60.000000,60.000000,1.500000e-01,1.000000e-03,162570972511144041154079825002357809004536334922131984712809141154148682446591691855859046487687168.000000,162570972511144041154079825002357809004536334922131984712809141154148682446591691855859046487687168.000000,inf
60.000000,60.000000,1.500000e-01,1.000000e-05,162570972511144041154079825002357809004536334922131984712809141154148682446591691855859046487687168.000000,162570972511144041154079825002357809004536334922131984712809141154148682446591691855859046487687168.000000,inf
60.000000,60.000000,1.500000e-01,1.000000e-08,162570972511144041154079825002357809004536334922131984712809141154148682446591691855859046487687168.000000,162570972511144041154079825002357809004536334922131984712809141154148682446591691855859046487687168.000000,inf
60.000000,60.000000,1.500000e-01,1.000000e-10,162570972511144041154079825002357809004536334922131984712809141154148682446591691855859046487687168.000000,162570972511144041154079825002357809004536334922131984712809141154148682446591691855859046487687168.000000,inf
60.000000,60.000000,1.500000e-01,1.000000e-15,162570972511144041154079825002357809004536334922131984712809141154148682446591691855859046487687168.000000,162570972511144041154079825002357809004536334922131984712809141154148682446591691855859046487687168.000000,inf
-10.000000,50.000000,1.000000e-03,1.000000e-03,39.800375,40.199614,inf
-10.000000,50.000000,1.000000e-03,1.000000e-05,39.800375,40.199614,inf
-10.000000,50.000000,1.000000e-03,1.000000e-08,39.800375,40.199614,inf
-10.000000,50.000000,1.000000e-03,1.000000e-10,39.800375,40.199614,inf
-10.000000,50.000000,1.000000e-03,1.000000e-15,39.800375,40.199614,inf
-10.000000,50.000000,5.000000e-03,1.000000e-03,39.939291,40.060709,245
-10.000000,50.000000,5.000000e-03,1.000000e-05,39.993937,40.006063,336
-10.000000,50.000000,5.000000e-03,1.000000e-08,39.999806,40.000194,472
-10.000000,50.000000,5.000000e-03,1.000000e-10,39.999980,40.000020,561
-10.000000,50.000000,5.000000e-03,1.000000e-15,39.999995,40.000005,620
-10.000000,50.000000,1.000000e-02,1.000000e-03,39.957758,40.042242,128
-10.000000,50.000000,1.000000e-02,1.000000e-05,39.995799,40.004201,173
-10.000000,50.000000,1.000000e-02,1.000000e-08,39.999865,40.000135,240
-10.000000,50.000000,1.000000e-02,1.000000e-10,39.999987,40.000013,285
-10.000000,50.000000,1.000000e-02,1.000000e-15,39.999997,40.000003,317
-10.000000,50.000000,5.000000e-02,1.000000e-03,39.987301,40.012699,27
-10.000000,50.000000,5.000000e-02,1.000000e-05,39.998729,40.001271,35
-10.000000,50.000000,5.000000e-02,1.000000e-08,39.999960,40.000040,47
-10.000000,50.000000,5.000000e-02,1.000000e-10,39.999996,40.000004,55
-10.000000,50.000000,5.000000e-02,1.000000e-15,40.000000,40.000000,68
-10.000000,50.000000,1.000000e-01,1.000000e-03,39.998779,40.006104,13
-10.000000,50.000000,1.000000e-01,1.000000e-05,39.999237,40.000153,16
-10.000000,50.000000,1.000000e-01,1.000000e-08,39.999995,40.000024,21
-10.000000,50.000000,1.000000e-01,1.000000e-10,40.000000,40.000001,25
-10.000000,50.000000,1.000000e-01,1.000000e-15,40.000000,40.000000,27
-10.000000,50.000000,1.500000e-01,1.000000e-03,-162570972511144041154079825002357809004536334922131984712809141154148682446591691855859046487687168.000000,-162570972511144041154079825002357809004536334922131984712809141154148682446591691855859046487687168.000000,inf
-10.000000,50.000000,1.500000e-01,1.000000e-05,-162570972511144041154079825002357809004536334922131984712809141154148682446591691855859046487687168.000000,-162570972511144041154079825002357809004536334922131984712809141154148682446591691855859046487687168.000000,inf
-10.000000,50.000000,1.500000e-01,1.000000e-08,-162570972511144041154079825002357809004536334922131984712809141154148682446591691855859046487687168.000000,-162570972511144041154079825002357809004536334922131984712809141154148682446591691855859046487687168.000000,inf
-10.000000,50.000000,1.500000e-01,1.000000e-10,-162570972511144041154079825002357809004536334922131984712809141154148682446591691855859046487687168.000000,-162570972511144041154079825002357809004536334922131984712809141154148682446591691855859046487687168.000000,inf
-10.000000,50.000000,1.500000e-01,1.000000e-15,-162570972511144041154079825002357809004536334922131984712809141154148682446591691855859046487687168.000000,-162570972511144041154079825002357809004536334922131984712809141154148682446591691855859046487687168.000000,inf
50.000000,-10.000000,1.000000e-03,1.000000e-03,40.199614,39.800375,inf
50.000000,-10.000000,1.000000e-03,1.000000e-05,40.199614,39.800375,inf
50.000000,-10.000000,1.000000e-03,1.000000e-08,40.199614,39.800375,inf
50.000000,-10.000000,1.000000e-03,1.000000e-10,40.199614,39.800375,inf
50.000000,-10.000000,1.000000e-03,1.000000e-15,40.199614,39.800375,inf
50.000000,-10.000000,5.000000e-03,1.000000e-03,40.060709,39.939291,245
50.000000,-10.000000,5.000000e-03,1.000000e-05,40.006063,39.993937,336
50.000000,-10.000000,5.000000e-03,1.000000e-08,40.000194,39.999806,472
50.000000,-10.000000,5.000000e-03,1.000000e-10,40.000020,39.999980,562
50.000000,-10.000000,5.000000e-03,1.000000e-15,40.000005,39.999995,618
50.000000,-10.000000,1.000000e-02,1.000000e-03,40.042242,39.957758,128
50.000000,-10.000000,1.000000e-02,1.000000e-05,40.004201,39.995799,173
50.000000,-10.000000,1.000000e-02,1.000000e-08,40.000135,39.999865,240
50.000000,-10.000000,1.000000e-02,1.000000e-10,40.000013,39.999987,285
50.000000,-10.000000,1.000000e-02,1.000000e-15,40.000003,39.999997,316
50.000000,-10.000000,5.000000e-02,1.000000e-03,40.012699,39.987301,27
50.000000,-10.000000,5.000000e-02,1.000000e-05,40.001271,39.998729,35
50.000000,-10.000000,5.000000e-02,1.000000e-08,40.000040,39.999960,47
50.000000,-10.000000,5.000000e-02,1.000000e-10,40.000004,39.999996,55
50.000000,-10.000000,5.000000e-02,1.000000e-15,40.000000,40.000000,68
50.000000,-10.000000,1.000000e-01,1.000000e-03,40.006104,39.998779,13
50.000000,-10.000000,1.000000e-01,1.000000e-05,40.000153,39.999237,16
50.000000,-10.000000,1.000000e-01,1.000000e-08,40.000024,39.999995,21
50.000000,-10.000000,1.000000e-01,1.000000e-10,40.000001,40.000000,25
50.000000,-10.000000,1.000000e-01,1.000000e-15,40.000000,40.000000,28
50.000000,-10.000000,1.500000e-01,1.000000e-03,-162570972511144041154079825002357809004536334922131984712809141154148682446591691855859046487687168.000000,-162570972511144041154079825002357809004536334922131984712809141154148682446591691855859046487687168.000000,inf
50.000000,-10.000000,1.500000e-01,1.000000e-05,-162570972511144041154079825002357809004536334922131984712809141154148682446591691855859046487687168.000000,-162570972511144041154079825002357809004536334922131984712809141154148682446591691855859046487687168.000000,inf
50.000000,-10.000000,1.500000e-01,1.000000e-08,-162570972511144041154079825002357809004536334922131984712809141154148682446591691855859046487687168.000000,-162570972511144041154079825002357809004536334922131984712809141154148682446591691855859046487687168.000000,inf
50.000000,-10.000000,1.500000e-01,1.000000e-10,-162570972511144041154079825002357809004536334922131984712809141154148682446591691855859046487687168.000000,-162570972511144041154079825002357809004536334922131984712809141154148682446591691855859046487687168.000000,inf
50.000000,-10.000000,1.500000e-01,1.000000e-15,-162570972511144041154079825002357809004536334922131984712809141154148682446591691855859046487687168.000000,-162570972511144041154079825002357809004536334922131984712809141154148682446591691855859046487687168.000000,inf
